Onset Prime,Jitter,Onset movie,Onset Response text,Response,Response RT,Movie: actor,Movie: item,CTX,date,frameRate,participant,
2.79165687971e-05,0.126623867197,1.51739981858,9.33935701591,3,0.969964652671,10,21,0,2018_Dec_17_1558,None,1,
3.03798005916e-05,0.469507203447,1.5138704261,7.68611274188,2,0.923918335815,20,25,0,2018_Dec_17_1558,None,1,
3.6537880078e-05,0.787226883171,1.50716921955,7.11252468359,3,2.67334748316,35,11,0,2018_Dec_17_1558,None,1,
3.36640514433e-05,0.282756244111,1.50320424658,7.68549816695,2,0.750125829829,31,14,0,2018_Dec_17_1558,None,1,
3.24324937537e-05,0.689666803636,1.51263347612,8.21663991333,1,0.729963913735,31,4,0,2018_Dec_17_1558,None,1,
3.61272832379e-05,0.427596269283,1.52271135506,6.92894660134,1,0.413330569048,19,15,0,2018_Dec_17_1558,None,1,
5.17277512699e-05,0.28768512761,1.52937520272,8.52520496096,3,1.41716375935,24,4,0,2018_Dec_17_1558,None,1,
3.32535710186e-05,0.989544875504,1.50261060911,6.99625261209,1,0.441840358253,13,29,1,2018_Dec_17_1558,None,1,
3.3664109651e-05,0.956188594492,1.50732891867,7.75679665658,2,1.59593855072,37,30,1,2018_Dec_17_1558,None,1,
4.51591331512e-05,0.978736516085,1.51007664739,7.50608252629,1,0.775156312215,41,26,1,2018_Dec_17_1558,None,1,
3.69483605027e-05,0.137457970686,1.51672243135,9.99851221143,1,0.404873903375,13,13,1,2018_Dec_17_1558,None,1,
3.32535710186e-05,0.258076550327,1.50398796308,7.09062003507,1,0.784151603351,30,10,0,2018_Dec_17_1558,None,1,
3.98221891373e-05,0.939463065846,1.5010546713,10.1007521051,2,0.306278352742,39,13,0,2018_Dec_17_1558,None,1,
4.55696717836e-05,0.315737927136,1.50945796707,6.975219535,3,0.357599257783,36,3,0,2018_Dec_17_1558,None,1,
5.41909830645e-05,0.385777618166,1.51299762301,9.74526999012,1,0.350011289818,37,29,1,2018_Dec_17_1558,None,1,
3.69483605027e-05,0.930720497862,1.50468177174,9.38580155431,3,1.07861016574,11,31,0,2018_Dec_17_1558,None,1,
3.61272832379e-05,0.261921779456,1.50629107939,10.0289117057,1,0.316215417348,21,9,1,2018_Dec_17_1558,None,1,
3.98221309297e-05,0.695532777909,1.51072776015,7.2595710702,3,0.316871867166,35,20,0,2018_Dec_17_1558,None,1,
4.84434422106e-05,0.117186864093,1.51214042027,12.0092297081,3,0.286945722823,39,12,0,2018_Dec_17_1558,None,1,
4.02327277698e-05,0.293971461266,1.51940242137,10.3945180904,1,0.333473600331,24,13,0,2018_Dec_17_1558,None,1,
5.29593671672e-05,0.89229396779,1.51013412268,8.80780924775,1,0.301077661454,26,30,1,2018_Dec_17_1558,None,1,
4.22853627242e-05,0.701706736242,1.51968569233,10.988718014,2,1.73953149444,36,15,0,2018_Dec_17_1558,None,1,
4.76224231534e-05,0.235794489083,1.53618725447,6.76159337885,2,0.316743368749,28,1,1,2018_Dec_17_1558,None,1,
3.57168028131e-05,0.715061860606,1.50486569258,8.20230147423,1,0.361471449141,13,17,1,2018_Dec_17_1558,None,1,
4.02327277698e-05,0.786021238895,1.5006999668,7.96623573895,3,1.56650053576,21,1,1,2018_Dec_17_1558,None,1,
3.85905150324e-05,0.561496539882,1.50401218474,6.17032674694,3,1.08333011746,29,23,0,2018_Dec_17_1558,None,1,
3.48957255483e-05,0.287195821579,1.50553651119,10.3374348785,1,0.366778059164,37,11,1,2018_Dec_17_1558,None,1,
4.02326695621e-05,0.418866350267,1.50263400975,8.08375584503,1,0.350235853926,34,24,1,2018_Dec_17_1558,None,1,
5.82963693887e-05,0.21197228308,1.5089378159,7.42588768509,2,0.332943185698,22,30,0,2018_Dec_17_1558,None,1,
3.5306205973e-05,0.818422788928,1.50527458813,9.47064491361,1,0.516843129473,5,28,0,2018_Dec_17_1558,None,1,
6.73281610943e-05,0.868480076029,1.50866973476,6.65216702316,1,0.439203064248,30,17,0,2018_Dec_17_1558,None,1,
5.3780444432e-05,0.882451547224,1.52131388482,7.15621287201,1,0.431856081879,32,16,1,2018_Dec_17_1558,None,1,
3.57168028131e-05,0.251326139803,1.53385581094,9.82686517533,1,0.467145900999,11,9,0,2018_Dec_17_1558,None,1,
4.76223649457e-05,0.329930153112,1.51093672385,9.9057081159,2,1.52197608212,22,8,0,2018_Dec_17_1558,None,1,
6.44543906674e-05,0.147836635541,1.52500297636,6.42156636546,3,0.319822811929,16,19,0,2018_Dec_17_1558,None,1,
3.73588991351e-05,0.606109257067,1.52880086045,9.62786483456,3,0.318982030789,33,5,1,2018_Dec_17_1558,None,1,
3.81800346076e-05,0.442112108096,1.52902008762,8.11877511977,2,0.277830144099,24,5,0,2018_Dec_17_1558,None,1,
6.07595429756e-05,0.573970003591,1.50871694658,8.39696078951,3,0.344134032377,40,8,1,2018_Dec_17_1558,None,1,
3.32535710186e-05,0.857606896534,1.50536080106,8.5936851094,1,0.316710115236,33,3,1,2018_Dec_17_1558,None,1,
3.57168028131e-05,0.729332430198,1.50332412362,6.51048554294,2,0.415989211062,30,9,0,2018_Dec_17_1558,None,1,
4.10537468269e-05,0.867196997358,1.5112754174,8.0900978311,1,0.653368667001,26,25,1,2018_Dec_17_1558,None,1,
4.31064981967e-05,0.543473921347,1.51442998898,8.50434595189,2,1.5088766457,26,4,1,2018_Dec_17_1558,None,1,
3.73589573428e-05,0.762620961886,1.50065439707,6.97977814544,1,1.7699100512,33,9,1,2018_Dec_17_1558,None,1,
5.17277512699e-05,0.904085370593,1.51816300809,7.88920737489,3,0.496459112503,20,21,0,2018_Dec_17_1558,None,1,
4.06432081945e-05,0.617893442365,1.52129541058,10.7022140297,1,0.317938854452,3,18,1,2018_Dec_17_1558,None,1,
5.3780444432e-05,0.355280744893,1.51838798274,6.67493831675,2,2.30133137363,39,16,0,2018_Dec_17_1558,None,1,
4.18748240918e-05,0.203411310637,1.51317949122,11.9783297685,3,0.40497366403,39,10,0,2018_Dec_17_1558,None,1,
