Group	filter	actor	item	Distance	DistanceM	Space	SpaceM	HoldT	HoldTM	Subs	SubsM	Peak	PeakM	Gaze	Duration	DurationM
1	1	3	19	3.32	-1.07986	2	-0.08665	0.33	-0.59052	7	-1.12024	2.1	-0.44173	0.16	4827.00	-.80
1	1	3	20	11.04	0.17822	0	-0.64929	0.33	-1.16374	12	1.89938	2.41	-0.61138	0.13	8862.00	.54
1	1	3	21	9.76	0.18896	2	-0.18271	0.33	2.37636	7	0.3123	3.19	0.92176	0.13	10241.00	.35
1	1	3	22	7.48	0.23417	2	-0.2376	0.33	0.54981	9	0.72492	1.98	-0.59514	0.15	8243.00	.08
1	1	3	23	11.58	1.19955	0	-1.15036	0.33	2.2825	10	2.45678	2.5	0.04213	0.04	13787.00	2.03
1	1	3	24	4.86	-0.57015	0	-1.24216	0.33	3.26007	10	-0.01404	1.46	-0.887	0.01	8609.00	1.12
1	1	3	25	3.93	-0.96236	0	-1.08734	1	5.2913	13	0.45846	0.86	-1.56079	0.39	8455.00	.29
1	1	3	26	7.46	0.47644	2	-1.08734	0.33	-0.32641	10	1.02742	2.04	-0.35216	0.09	8280.00	.18
1	1	3	27	4.15	-0.74242	0	-1.2018	0.33	-0.76291	6	1.02958	2.11	-0.28019	0.16	6362.00	-.48
1	1	3	28	5.84	-0.41201	4	-2.45877	0.33	1.36642	6	-0.26957	2.8	0.23191	0.5	5865.00	-.49
1	1	3	29	4.57	-0.73342	2	-0.4646	0.33	1.46381	7	0.08311	2.05	-0.44044	0.15	7051.00	.73
1	1	3	30	3.94	-0.87974	0	-0.82041	0.33	2.90691	6	0.71988	2.26	-0.47526	0.08	5051.00	-.58
1	1	3	31	8.65	0.38295	0	-0.58225	0.33	-0.89145	10	1.45001	2.6	-0.12645	0.09	9115.00	.29
0	1	4	1	6.71	1.5887	0	-0.93077	0.33	-0.14623	6	0.04826	2.15	-0.06105	0	3329.00	-1.39
0	1	4	2	9	-0.1513	5	-1.93649	0.33	0.23878	12	-0.74041	2.33	-0.46724	0	5557.00	-.63
0	1	4	3	4.38	-0.92713	0	-0.55522	0.33	1.15884	6	-1.06528	2.49	-0.23996	0	4136.00	-1.41
0	1	4	4	4.67	-0.79448	0	-0.68143	0.33	-0.81799	9	-0.21847	2.17	-0.60509	0	5363.00	-.76
0	1	4	5	5.38	-0.53437	0	-0.45849	0.33	0.69651	9	-0.598	2.52	-0.06626	0	5012.00	-1.06
