2	1	4000	0	0.63699	-0.21837	0.03486	-0.26952
2	2	4000	0.16	0.59136	-0.21837	-0.4625	-0.54108
2	3	4000	0	-0.65268	-0.27436	-0.79197	-1.65452
2	4	4000	0	-0.81449	-0.32579	0.28159	-0.77854
2	5	4000	0	-0.51808	-0.27436	0.1216	0.53121
2	6	4000	0	-0.9727	-0.21837	0.84939	-0.73081
2	7	4000	0	-0.53183	-0.21837	-0.23986	-0.66917
2	8	4000	0	-0.55923	-0.21837	-0.46071	-1.16708
2	9	4000	0	-0.23096	-0.21837	-0.44734	-0.01803
2	10	4000	0	0.59397	-0.2269	1.27775	-0.36101
2	11	4000	0	0.65268	-0.32483	-0.35344	-0.31181
2	12	4000	0	0.89304	-0.2482	0.51161	-0.19291
2	13	4000	0	0.18716	-0.32483	-0.24539	-0.696
2	14	4000	0	0.87051	-2.8332	-0.52291	-0.4273
2	15	4000	0	0	-2.8332	1.24856	-0.42452
2	16	4000	0.64	0.28103	-0.27436	-0.70741	-0.82362
2	17	4000	0	-0.80209	-0.29937	-0.82103	-0.35382
2	18	4000	0	-0.36704	-0.21953	0.09968	0.29935
2	19	4000	0	-0.90941	-2.8332	-0.45584	-1.14887
2	20	4000	0	-0.67675	-0.37128	0.6954	0.77056
2	21	4000	0	0.69395	-0.27436	1.36794	-0.66043
2	22	4000	0	-1.19458	-0.29734	0.26545	-0.70181
2	23	4000	0	0.65268	-0.24742	0.10487	-0.1286
2	24	4000	0	0.48246	-0.21953	0.6483	-0.14867
2	25	4000	0	-1.023	-0.2482	-0.27407	1.5343
2	26	4000	0	0.06141	-0.27436	-1.05892	-0.63471
2	27	4000	0	0.32162	-0.45973	-0.85137	-0.39264
2	28	4000	0.13	-0.09405	-0.37218	-1.36394	-0.51107
2	29	4000	0.03	0.44388	-0.21837	-0.74999	-0.82185
2	30	4000	0	-0.78001	-0.32579	0.1996	-0.03838
2	31	4000	0	-0.64159	-0.24742	0.2697	-1.24255
3	1	4000	0.13	-0.93077	1.99415	0.48256	-0.14364
3	2	4000	0.59	-1.93649	2.46735	-0.46276	-0.70984
3	3	4000	0.2	0.21354	0.99417	-0.07347	-1.07683
