ling,geo
0.154763,461.249
0.0898119,77.248
0.148332,247.03
0.0779647,304.574
0.231063,430.606
0.254752,635.991
0.231003,311.349
0.263102,767.913
0.213643,381.027
0.190439,755.542
0.14842,143.687
0.137103,572.302
0.206143,456.426
0.169796,76.7423
0.147548,288.096
0.250307,362.062
0.277597,776.962
0.257107,737.013
0.108775,368.576
0.0860288,146.808
0.199066,403.941
0.245841,342.704
0.0734765,226.199
0.251492,655.676
0.18578,696.627
0.173731,280.754
0.152623,196.37
0.10902,301.049
0.144971,594.966
0.0652241,67.3193
0.057832,354.339
0.275066,990.758
0.289254,1167.06
0.277255,865.309
0.299465,1292.26
0.239402,938.261
0.2178,274.579
0.198432,639.208
0.140728,209.257
0.25265,1019.81
0.196186,629.924
0.194266,853.224
0.265675,798.507
0.32452,1314.88
0.30069,1260.03
0.131548,290.926
0.172607,448.318
0.239374,968.308
0.289366,402.82
0.149541,361.781
0.220473,91.9827
0.177658,151.153
0.20544,840.935
0.214686,701.984
0.189395,269.225
0.148502,102.719
0.175602,530.18
0.147805,248.189
0.167692,565.654
0.121504,268.817
0.136669,89.3848
0.265069,374.568
0.133236,128.11
0.17681,442.895
0.288013,1360.19
0.228453,591.127
0.27286,1173.68
0.156334,263.882
0.221407,611.558
0.219958,418.381
0.278455,740.689
0.100792,96.562
0.136336,117.096
0.268706,970.793
0.268759,782.274
0.167862,374.213
0.251755,882.584
0.251413,868.6
0.343863,1314.64
0.306203,1341.1
0.218782,483.036
0.242768,528.744
0.282004,961.901
0.283972,1234.62
0.265184,704.609
0.255075,989.62
0.250266,685.711
0.291362,1230.33
0.227604,175.931
0.245266,378.946
0.195531,50.5774
0.240984,511.754
0.184617,227.206
0.23635,975.365
0.131176,189.401
0.193365,787.353
0.195226,209.224
0.138076,187.821
0.119524,80.0776
0.206356,419.194
0.247544,516.886
0.245253,481.765
0.192584,578.395
0.200912,369.389
0.161887,204.53
0.254087,511.225
0.198077,457.504
0.288037,903.011
0.234724,936.594
0.112912,158.928
0.147611,142.954
0.210862,546.48
0.221454,831.451
0.177285,285.426
0.181886,584.48
0.173847,260.826
0.220739,815.583
0.234699,424.957
0.257912,1051.66
0.276892,1199.25
0.259812,923.456
0.2955,1317.09
0.227344,1029.8
0.14339,113.02
0.191735,689.144
0.101067,105.055
0.218627,1085.32
0.181238,700.983
0.160024,926.337
0.221479,929.264
0.3039,1348.38
0.284026,1284.8
0.135704,300.366
0.148536,511.004
0.227045,1050.06
0.250544,393.357
0.129666,424.355
0.210161,143.602
0.125959,100.212
0.193544,929.57
0.187388,747.036
0.159098,352.571
0.119738,73.9347
0.134668,599.504
0.123208,295.116
0.118827,648.826
0.176317,173.2
0.273762,1270.72
0.195805,876.333
0.239518,369.478
0.249704,576.807
0.233579,250.594
0.255239,709.078
0.178441,329.044
0.216804,808.482
0.126938,116.026
0.177023,623.436
0.199251,395.661
0.0384052,29.9282
0.123496,227.992
0.191364,352.886
0.264915,716.796
0.253201,678.412
0.169985,416.773
0.191344,194.384
0.179243,346.968
0.241833,378.251
0.163433,279.074
0.260467,714.799
0.21937,754.178
0.126242,228.283
0.136454,153.829
0.199451,358.938
0.189553,651.525
0.185072,105.964
0.161223,408.247
0.166082,61.1537
0.203726,625.237
0.230264,625.119
0.14083,200.162
0.179277,703.35
0.316094,1104.05
0.329262,1240.73
0.329906,975.75
0.333865,1355.22
0.301735,1091.81
0.192579,45.5975
0.263326,741.078
0.200582,142.563
0.299588,1139.05
0.263097,759.255
0.269723,983.374
0.317653,1001.53
0.360636,1389.65
0.334875,1323.06
0.210853,351.482
0.239269,569.678
0.31064,1109.07
0.330388,432.45
0.233756,485.039
0.200709,203.104
0.214452,139.811
0.28146,991.211
0.259332,796.648
0.249338,420.095
0.184734,150.914
0.259492,658.534
0.236537,356.971
0.239204,711.057
0.240175,248.073
0.336387,1314.86
0.272798,929.829
0.203778,77.0272
0.255096,763.626
0.212757,263.385
0.245525,403.457
0.23736,143.379
